date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:41	37056/37056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256377472-90c0%22	http://html.templines.com/academica/assets/plugins/bootstrap/js/bootstrap.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/bootstrap/js/bootstrap.min.js	(from http://html.templines.com/academica/)
21:16:41	8372/8372	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22563773f9-20b4%22	http://html.templines.com/academica/assets/js/modernizr.custom.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/js/modernizr.custom.js	(from http://html.templines.com/academica/)
21:16:42	16033/16033	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256377428-3ea1%22	http://html.templines.com/academica/assets/plugins/isotope/jquery.isotope.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/isotope/jquery.isotope.min.js	(from http://html.templines.com/academica/)
21:16:42	23890/23890	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225637742d-5d52%22	http://html.templines.com/academica/assets/plugins/owl-carousel/owl.carousel.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/owl-carousel/owl.carousel.min.js	(from http://html.templines.com/academica/)
21:16:43	8048/8048	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22563773f9-1f70%22	http://html.templines.com/academica/assets/js/waypoints.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/js/waypoints.min.js	(from http://html.templines.com/academica/)
21:16:43	21506/21506	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256377473-5402%22	http://html.templines.com/academica/assets/plugins/prettyphoto/js/jquery.prettyPhoto.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/prettyphoto/js/jquery.prettyPhoto.js	(from http://html.templines.com/academica/)
21:16:43	5555/5555	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202015%2020:11:20%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Users/amane/Downloads/CollegeSpace/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://html.templines.com/academica/)
21:16:44	3072/3072	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256377429-c00%22	http://html.templines.com/academica/assets/plugins/jelect/jquery.jelect.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/jelect/jquery.jelect.js	(from http://html.templines.com/academica/)
21:16:44	18183/18183	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225637742b-4707%22	http://html.templines.com/academica/assets/plugins/nouislider/jquery.nouislider.all.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/nouislider/jquery.nouislider.all.min.js	(from http://html.templines.com/academica/)
21:16:44	3283/3283	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22563773f8-cd3%22	http://html.templines.com/academica/assets/js/cssua.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/js/cssua.min.js	(from http://html.templines.com/academica/)
